R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,_NEW_YORK_,192261.83
162597.7,151377.59,,california,
765451.709161711,101145.55,407934.54, FLORIDA ,191050.39
144372.41,118671.85,383199.62,nan,182901.99
142107.34,91391.77,366168.42,_FLORIDA_,166187.94
131876.9,99814.71,362861.36, new york ,156991.12
134615.46,147198.87,127716.82,california,156122.51
,145530.06,323876.68,_FLORIDA_,155752.6
120542.52,148718.95,311613.29,_new_york_,152211.77
123334.88,108679.17,304981.62,CALIFORNIA,149759.96
765451.709161711,110594.11,229160.95,_FLORIDA_,146121.95
100671.96,,249744.55,_california_,144259.4
93863.75,,249839.44,florida,141585.52
91992.39,135495.07,252664.93,california,708680.2082535967
119943.24,156547.42,256512.92, FLORIDA ,132602.65
114523.61,122616.84,261776.23,NAN,129917.04
78013.11,121597.55,264346.06, california ,126992.93
94657.16,145077.58,282574.31,NEW_YORK,125370.37
91749.16,114175.79,1830891.3155738257,florida,124266.9
86419.7,,,NAN,122776.86
76253.86,113867.3,298664.47,_CALIFORNIA_,118474.03
78389.47,153773.43,299737.29,new york,111313.02
73994.56,122782.75,303319.26, florida ,110352.25
67532.53,105751.03,304768.73,florida,108733.99
77044.01,99281.34,140574.81,new_york,108552.04
64664.71,139553.16,137962.62,CALIFORNIA,107404.34
134050.07,144135.98,75328.87,florida,
72107.6,127864.55,1830891.3155738257,_nan_,105008.31
66051.52,182645.56,118148.2,_FLORIDA_,103282.38
,153032.06,107138.38,new_york,101004.64
61994.48,115641.28,91131.24,_FLORIDA_,99937.59
61136.38,552141.679541475,88218.23,NEW YORK,
63408.86,,46085.25,_california_,97427.84
,103057.49,214634.81,FLORIDA,-96778.92
46426.07,157693.92,210797.67,_CALIFORNIA_,96712.8
46014.02,85047.44,205517.64,_new_york_,96479.51
28663.76,127056.21,201126.82,florida,
44069.95,51283.14,197029.42,california,89949.14
20229.59,65947.93,185265.1,new york,81229.06
,82982.09,174999.3,california,81005.76
28754.33,118546.05,172795.67,CALIFORNIA,
27892.92,552141.679541475,164470.71,_florida_,77798.83
23640.93,96189.63,148001.11,CALIFORNIA,71498.49
,127382.3,,new_york,69758.98
22177.74,154806.14,28334.72,_CALIFORNIA_,65200.33
1000.23,124153.04,,new_york,64926.08
1315.46,,297114.46, NAN ,49490.75
0.0,135426.92,0.0,_CALIFORNIA_,42559.73
542.05,51743.15,0.0,NEW_YORK,35673.41
0.0,116983.8,,california,708680.2082535967
91992.39,135495.07,252664.93,_CALIFORNIA_,134307.35
,82982.09,174999.3,_california_,81005.76
