Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0
28.0,F&emale,Mas*ter's,Data Analyst,3.0,65000.0
45.0,Male*,#PhD,Sen$ior Manager,15.0,150000.0
36.0,Female,Bachelor'$s,Sales Associate,7.0,60000.0
3764.8058252427186,Male,M#astre's,Direc$tor,20.0,200000.0
29.0,#Male,Bach$elor's,,2.0,55000.0
42.0,Female,Master's,Product Man*ager,12.0,120000.0
31.0,M&ale,Bachelor's,Sales Manager@,4.0,80000.0
26.0,Female,Bache$lor's,,1.0,45000.0
38.0,Male,PhD,Senior Sc%ientist,10.0,110000.0
29.0,Male,Master's#,Software Developer,3.0,75000.0
48.0,#Female,Bachel$or's,HR Manager%,18.0,140000.0
35.0,@Male,Bachelor's,Financial Analyst,6.0,65000.0
40.0,Fema*le,Master@'s,Project Manager,14.0,130000.0
27.0,Male,,Customer Service Rep,2.0,40000.0
44.0,&Male,Bachelor's,Operat$ions Manager,16.0,125000.0
33.0,Female,Master's,Marketing Ma*nager,1022.4514563106796,90000.0
39.0,M%ale,PhD,Senior Engineer,12.0,115000.0
25.0,Fe@male,Bachelor's,Da$ta Entry Clerk,0.0,35000.0
51.0,Male*,Bac$helor's,Sa#les Director,22.0,180000.0
34.0,&Female,Master's,Business &Analyst,5.0,80000.0
47.0,Ma@le,@Master's,VP of Operations,19.0,190000.0
30.0,Male,Bachel&or's,IT Supp@ort,2.0,
36.0,Female,Bachelor$'s,Recruite@r,9.0,60000.0
,Male,Master's,Financial Manager#,13.0,140000.0
28.0,Female,Bachel*or's,Social Media Specialist,3.0,45000.0
37.0,Femal@e,M$aster's,Sof@tware Manager,11.0,110000.0
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0
43.0,Female,PhD,Senior Consultan@t,15.0,140000.0
33.0,Ma*le,Master's,Produc%t Designer,6.0,90000.0
50.0,Male,Bache$lor's,CEO,25.0,250000.0
31.0,Fema@le,Bachelor's,Accountant,4.0,55000.0
29.0,Mal#e,M&aster's,,3.0,75000.0
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0
46.0,M&ale,P$hD,Senior Manager,20.0,170000.0
27.0,%Male,Bachelor's,Technical Writer,2.0,45000.0
35.0,Femal@e,Bachelo@r's,HR Generalist,7.0,60000.0
42.0,Male$,Master's,Project Engineer,14.0,115000.0
26.0,Feml@ae,Bachelor's,Custom*er Success Rep,1.0,40000.0
49.0,,Bachelor'*s,Sa*les Executive,21.0,
34.0,Fe%male,Master&'s,UX Designer,5.0,80000.0
48.0,Male*,M%aster's,Operatio#ns Director,18.0,190000.0
30.0,&Male,Bachelor's,Network Engineer,1022.4514563106796,er&ror
36.0,Fema#le,Bachelor's,Administrative Assist%ant,8.0,45000.0
41.0,Male,Master's,Strategy Consultant,13.0,130000.0
,Female,Bachelor's,Copywri$ter,2.0,40000.0
32.0,Male,%Bachelor's,Accou#nt Manager,5.0,75000.0
45.0,Female,Mast#er's,Director of Mar*keting,16.0,180000.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0
25.0,Male,Bachelor'#s,Help# Desk Analyst,0.0,35000.0
,eFm$ale,Bachelor's,Customer Serv#ice Manager,22.0,130000.0
3764.8058252427186,M%ale,Master's,Busines&s Intelligence Analyst,7.0,85000.0
40.0,Female,Bac*helor's,Event Coordinator,12.0,60000.0
47.0,Male,Master's,VP of Finance,19.0,200000.0
29.0,&Fmeale,B@achelor's,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor's,Sales Man*ager,9.0,95000.0
27.0,#Female,Master's,UX Researcher,2.0,65000.0
43.0,#Male,PhD$,Senior Engineer,17.0,140000.0
erro@r,Female,Bachelor's,Social Media Manage#r,4.0,55000.0
35.0,Male,Ma@ster's,Product Ma*nager,7.0,105000.0
51.0,Feamle,Master's,Director of Operations,error,170000.0
29.0,Ma$le,Bac$helor's,Marketing Analyst,3.0,50000.0
40.0,Femlae,Bachelor'%s,#HR Manager,1022.4514563106796,80000.0
47.0,$Male,P&hD,Senior Data Scientist,21.0,180000.0
26.0,Male,Bachelor's%,Junior Account*ant,1.0,35000.0
38.0,Female,,Digital Marketing Manager,10.0,90000.0
46.0,Male$,Bach%elor's,*IT Manager,19.0,120000.0
31.0,Female%,Bachelor%'s,Custom&er Service Representative,5.0,45000.0
,a$Mle,*Master's,Business Developme#nt Manager,8.0,90000.0
49.0,Female,Master's,Senior Financial Ana%lyst,18.0,150000.0
33.0,Male,Bahc&elor's,Web Developer,6.0,65000.0
,Female,Bachelo#r's,Recrui&ter,11.0,70000.0
45.0,Mal*e,PhD&,Research Director,16.0,190000.0
28.0,Male,Bachel#or's,Technical Support Specialist,2.0,40000.0
42.0,Female,Master's,@Creative Director,14.0,120000.0
37.0,Mael,#Bachelor's,Project Manager,10.0,95000.0
er@ror,F@emael,Bachelor's,Oper&ations Manager,22.0,160000.0
32.0,M*ale,Master's,Senior Software Engineer,6.0,100000.0
48.0,Fem%ale,Mas#ter's,Human Resources Director,20.0,180000.0
30.0,Femal*e,Bachelo$r's,Content Marketing Manager,3.0,55000.0
36.0,Male,Bachelo#r's,Technical Recruiter,8.0,70000.0
41.0,Female,Master's,Data Analys#t,13.0,80000.0
25.0,Male,Bachelor's,Sales Representative,0.0,
52.0,Male,#PhD,Chief Technology Officer,24.0,250000.0
29.0,Female,Bachelor'#s,Junior Designer,2.0,
error,Female,Master's,Financial Ad@visor,10.0,95000.0
27.0,Male,Bachelor's@,Junior Account Manage#r,2.0,45000.0
40.0,Female,Bachelor's,HR Generali#st,,80000.0
46.0,Mal*e,Master's,Senior Project Manager,21.0,135000.0
31.0,eFma#le,,Marketing %Coordinator,6.0,55000.0
36.0,Mal@e,PhD*,Principal Scientist,11.0,120000.0
