age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target,column_name
58,management,married,TERTIARY,no,2143,yes,on,UNKNOWN,5,may,261,1,-1,0,UNKNOWN,no,
44,technician,single,SECONDARY,no,29,yes,no,UNKNOWN,5,may,151,1,-1,0,UNKNOWN,no,
33,entrepreneur,married,secondary,no,2,yes,yes,UNKNOWN,5,may,76,1,-1,0,UNKNOWN,no,
47,BLUE-CLOLAR,married,UNKNOWN,no,1506,yes,no,unknown,5,may,92,1,-1,0,UNNKOWN,no,
33,unknown,single,unknown,no,1,no,no,UNKNOWN,5,may,198,1,-1,0,nuknown,no,
35,management,mraried,tertiary,no,231,yes,no,UNNKOWN,5,may,139,1,-1,0,unknwon,no,
28,MANAGEMENT,single,tertiary,no,447,yes,yes,UNKNOWN,5,may,217,1,-1,0,unknown,no,
42,entrepreneur,divorced,TERTIARY,yes,2,eys,on,UNKNOWN,5,may,380,1,-1,0,UNKNOWN,no,
58,RETIRED,married,primary,no,121,yes,on,uknnown,5,may,50,1,-1,0,UNKNOWN,no,
43,technician,single,secondary,no,593,yes,no,UNKNOWN,5,may,55,1,-1,0,UNKNOWN,no,
41,admin.,divorced,secondary,no,270,yes,no,UNKNOWN,5,may,222,1,-1,0,unknown,no,
29,ADMIN.,single,SECONDARY,no,390,yes,no,unknown,5,may,137,1,-1,0,uknnown,no,
53,technician,married,SECONDARY,no,6,yes,no,unknown,5,may,517,1,-1,0,UNKNOWN,no,
58,TECHNICIAN,married,unknown,on,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,
57,services,married,SECONDARY,on,162,yes,no,UNKNOWN,5,may,174,1,-1,0,UNKNOWN,no,
51,RETIRED,married,PRIMARY,no,229,yes,no,unknown,5,may,353,1,-1,0,UNKNONW,no,
45,admin.,single,unknown,no,13,yes,on,unknown,5,may,98,1,-1,0,UNKNOWN,no,
57,blue-collar,married,primary,no,52,yes,no,UNKNOWN,5,may,38,1,-1,0,UNKNOWN,no,
60,RETIRED,married,PRIMARY,no,60,yes,no,unknown,5,may,219,1,-1,0,UNKNOWN,no,
33,SERVICES,married,secondary,no,0,yes,on,UNKNOWN,5,may,54,1,-1,0,unknown,no,
28,BLUE-COLLAR,married,SECONDARY,no,723,yes,yes,unknown,5,may,262,1,-1,0,UNKONWN,no,
56,management,married,TERTIARY,no,779,yes,no,unknown,5,may,164,1,-1,0,UNKNOWN,no,
32,BLUE-COLLAR,single,primary,no,23,yes,yes,UNKNOWN,5,mya,160,1,-1,0,UNKNOWN,no,
25,SERVICES,married,SECONDARY,no,50,yes,no,UNKNONW,5,may,342,1,-1,0,UNKNOWN,no,
40,retired,married,PRIMARY,no,0,yes,yes,unknown,5,may,181,1,-1,0,UNKNOWN,no,
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,
39,management,single,ETRTIARY,no,255,yes,no,UNKNOWN,5,amy,296,1,-1,0,UNKNOWN,no,
52,ENTREPRENEUR,married,secondary,on,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,
46,MANAGEMENT,signle,SECONDARY,no,-246,yes,no,UNKNWON,5,may,255,2,-1,0,UNKNOWN,no,
36,technician,singel,SECONDARY,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,
57,TECHNICIAN,married,secondary,no,839,no,yes,UNKONWN,5,may,225,1,-1,0,unknown,no,
49,MANAGEMENT,marreid,TERTIARY,no,378,yes,no,UNKNOWN,5,may,230,1,-1,0,UNKNOWN,no,
60,admin.,marride,SECONDARY,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,
59,blue-collar,married,SECONDAYR,no,0,yes,no,unknown,5,may,226,1,-1,0,UNKNOWN,no,
51,MANAGEMENT,married,TERTIARY,no,10635,yes,no,unknown,5,mya,336,1,-1,0,UNKNOWN,no,
57,technician,divorced,secondary,on,63,yes,no,UNKNOWN,5,may,242,1,-1,0,UNKNOWN,no,
25,blue-collar,married,SECONDARY,no,-7,yes,no,UNKNOWN,5,may,365,1,-1,0,unkonwn,no,
