Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,1.0,,0.2,,0.0,0.0,feb,1.0,1.0,,1.0,returning_visitor,FALSE,false
0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,feb,2.0,2.0,1.0,2.0,nan,false,false
0.0,0.0,0.0,0.0,1.0,0.0,,0.43188251950180384,,0.0,feb,4.0,1.0,9.0,3.0,RETURNING_VISITOR,false,false
0.0,0.0,0.0,0.0,2.0,,0.05,0.14,0.0,0.0,feb,3.0,2.0,2.0,4.0,RETURNING_VISITOR,NAN,FALSE
,0.0,0.0,0.0,10.0,627.5,0.02,0.05,,0.0,FEB,3.0,3.0,1.0,4.0,RETURNING_VISITOR,nan,false
0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789474,0.024561404,0.0,0.0,FEB,2.0,,1.0,3.0,returning_visitor,FALSE,FALSE
,0.0,0.0,0.0,,,0.2,0.2,59.85699127493774,0.4,feb,,4.0,3.0,3.0,returning_visitor@,nan,FALSE
1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,nan@,,2.0,1.0,5.0,RETURNING_VISITOR,nan,FALSE
0.0,0.0,0.0,0.0,2.0,37.0,0.0,,0.0,0.8,feb%,2.0,2.0,2.0,3.0,returning_visitor,false,FALSE
0.0,,0.0,0.0,,738.0,0.0,0.022222222,,0.4,feb,,4.0,1.0,2.0,RETURNING_VISITOR,FALSE,false
0.0,0.0,0.0,0.0,3.0,,0.0,0.066666667,0.0,0.0,feb,1.0,1.0,3.0,3.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,0.4,feb,1.0,1.0,4.0,3.0,returning_visitor,FALSE,FALSE
0.0,0.0,,0.0,7.0,,0.0,0.028571429,0.0,0.0,FEB,1.0,1.0,1.0,3.0,RETURNING_VISITOR,false,FALSE
0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,,feb,,5.0,1.0,3.0,returning_visitor,FALSE?,FALSE
0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,FEB,21.26179447589638,2.0,3.0,3.0,returning_visitor,NAN,nan
2.0,53.0,0.0,,23.0,1668.285119,0.008333333,0.016312636,59.85699127493774,0.0,feb,1.0,1.0,,3.0,returning_visitor,FALSE*,FALSE
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,feb,1.0,,4.0,40.82853953807848,returning_visitor,false,false
0.0,0.0,0.0,0.0,,334.9666667,0.0,0.007692308,0.0,0.0,FEB,1.0,1.0,,4.0,RETURNING_VISITOR,NAN,false
0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.1,0.0,0.0,feb,2.0,2.0,1.0,3.0,nan,FALSE,false
0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,,0.0,0.0,nan,2.0,4.0,4.0,4.0,returning_visitor,FALSE,false$
0.0,0.0,0.0,,8.0,136.1666667,0.0,,0.0,1.0,feb*,2.0,2.0,5.0,1.0,returning_visitor,true,false
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,nan*,3.0,3.0,1.0,3.0,RETURNING_VISITOR,nan,false
0.0,0.0,0.0,0.0,3.0,,0.0,0.033333333,0.0,0.0,FEB?,,2.0,1.0,5.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,2.0,15.0,0.0,,,,FEB#,2.0,4.0,1.0,3.0,returning_visitor,false,nan
0.0,0.0,0.0,0.0,1.0,0.0,0.2,,0.0,0.0,FEB,2.0,2.0,4.0,,returning_visitor,true,FALSE
0.0,0.0,0.0,0.0,,156.0,0.0,0.04,,0.0,FEB,1.0,1.0,9.0,,returning_visitor,FALSE@,false
4.0,64.6,0.0,0.0,32.0,1135.444444,0.002857143,0.00952381,0.0,0.0,feb,2.0,2.0,31.566440765205456,3.0,nan,FALSE,false
0.0,0.0,0.0,,4.0,76.0,0.05,0.1,0.0,0.0,NAN,1.0,1.0,1.0,3.0,NAN,FALSE,NAN
0.0,0.0,0.0,0.0,316.79015521824886,63.0,0.0,0.05,,0.2,feb,2.0,,1.0,3.0,RETURNING_VISITOR,false,FALSE
1.0,6.0,1.0,,45.0,,0.043478261,0.050821256,54.17976426,0.4,feb$,,2.0,31.566440765205456,1.0,returning_visitor,NAN,FALSE
0.0,0.0,5.054105118515974,0.0,2.0,35.0,0.0,0.1,0.0,0.0,FEB,1.0,1.0,6.0,3.0,RETURNING_VISITOR,false!,FALSE
0.0,0.0,,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,FEB,1.0,2.0,6.0,6.0,returning_visitor,true,false
0.0,0.0,0.0,0.0,8.0,209.5,,0.025,,,nan,,2.0,1.0,1.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,10.0,11945.534323185837,0.04,0.08,0.0,0.0,FEB,1.0,1.0,3.0,1.0,RETURNING_VISITOR,FALSE,false
0.0,0.0,0.0,0.0,,,0.014285714,0.028571429,0.0,0.0,NAN,2.0,2.0,1.0,1.0,RETURNING_VISITOR,nan,FALSE
0.0,0.0,0.0,334.9380199062564,52.0,11945.534323185837,0.015384615,0.020352564,0.0,0.6039451114922814,feb,2.0,2.0,7.0,1.0,RETURNING_VISITOR%,false,false
0.0,0.0,0.0,,8.0,388.0,0.025,0.05625,0.0,0.0,FEB,3.0,,1.0,4.0,RETURNING_VISITOR,TRUE,FALSE
2.0,18.0,0.0,0.0,5.0,11945.534323185837,0.0,0.028571429,,0.8,feb,2.0,2.0,8.0,4.0,RETURNING_VISITOR,false!,FALSE#
0.0,0.0,0.0,,7.0,11945.534323185837,,,0.0,0.6,FEB,2.0,2.0,1.0,3.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,9.0,482.0,0.0,0.022222222,0.0,0.0,FEB,2.0,5.0,1.0,6.0,returning_visitor&,FALSE,false%
1.0,9.0,0.0,0.0,46.0,4084.393939,0.0,0.001794872,0.0,,FEB,2.0,2.0,8.0,4.0,RETURNING_VISITOR@,FALSE,false
,0.0,0.0,0.0,3.0,22.0,0.0,0.066666667,0.0,0.6,nan,1.0,1.0,3.0,2.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,15.0,310.1666667,0.0,0.006666667,,0.0,FEB,1.0,1.0,4.0,4.0,returning_visitor,false,false
0.0,,0.0,0.0,2.0,34.0,0.0,,,0.4,feb,3.0,2.0,2.0,,returning_visitor,FALSE,false
0.0,0.0,0.0,0.0,4.0,88.0,0.0,,0.0,0.0,FEB,,,1.0,3.0,returning_visitor,NAN,false
0.0,0.0,0.0,,22.0,622.25,0.003030303,,0.0,0.2,FEB,2.0,5.0,1.0,4.0,returning_visitor*,FALSE,FALSE%
0.0,0.0,0.0,0.0,14.0,222.4,,0.057142857,0.0,0.0,FEB#,,,1.0,2.0,returning_visitor,FALSE,FALSE
0.0,0.0,5.054105118515974,0.0,3.0,80.0,0.066666667,0.133333333,,,FEB,3.0,2.0,1.0,3.0,nan,FALSE,false
0.0,0.0,,0.0,11.0,,0.0,0.003636364,0.0,0.0,feb,,23.63535059146237,1.0,3.0,nan,false,FALSE
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,feb,2.0,2.0,3.0,2.0,RETURNING_VISITOR,nan,false#
0.0,809.2796353305108,0.0,,1.0,0.0,0.2,0.2,0.0,0.0,FEB,1.0,1.0,3.0,4.0,returning_visitor,true,FALSE
0.0,0.0,,0.0,12.0,265.1666667,0.011111111,0.026111111,0.0,0.2,feb,3.0,2.0,1.0,3.0,returning_visitor,nan,FALSE
0.0,0.0,0.0,0.0,2.0,29.0,0.0,,0.0,1.0,feb,2.0,4.0,4.0,2.0,RETURNING_VISITOR%,TRUE,false
0.0,0.0,0.0,0.0,4.0,160.0,0.0,0.075,0.0,0.0,FEB#,4.0,2.0,2.0,3.0,RETURNING_VISITOR,FALSE,false
0.0,,0.0,0.0,4.0,135.6666667,0.05,0.025,0.0,0.4,FEB,3.0,3.0,1.0,4.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,FEB,2.0,4.0,1.0,3.0,RETURNING_VISITOR,FALSE,false
0.0,,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,FEB,3.0,2.0,3.0,,returning_visitor,FALSE,false
,56.0,2.0,,36.0,998.7416667,0.0,0.014736467,,0.2,feb,2.0,,,1.0,returning_visitor,FALSE,FALSE@
0.0,0.0,0.0,,316.79015521824886,104.0,0.0,0.05,0.0,0.4,FEB,2.0,6.0,6.0,3.0,returning_visitor,FALSE,false
2.0,16.0,0.0,0.0,,381.6865079,0.011764706,0.046568627,0.0,0.6,feb,2.0,4.0,,1.0,RETURNING_VISITOR,false,false
0.0,0.0,5.054105118515974,,6.0,169.0,0.0,,0.0,0.4,FEB,1.0,1.0,,3.0,RETURNING_VISITOR,NAN,FALSE
0.0,0.0,0.0,0.0,,,0.05,0.120833333,0.0,0.0,FEB,1.0,1.0,1.0,3.0,NAN$,FALSE,nan
12.0,279.4166667,0.0,334.9380199062564,42.0,1553.583333,0.009,0.019666667,38.30849268,0.0,FEB?,1.0,1.0,3.0,,returning_visitor,false$,false
0.0,0.0,0.0,0.0,14.0,706.5,0.0,0.007142857,0.0,0.0,FEB,2.0,2.0,5.0,4.0,returning_visitor,TRUE,FALSE
0.0,,0.0,0.0,,0.0,0.2,0.2,0.0,0.6039451114922814,feb%,2.0,23.63535059146237,4.0,3.0,returning_visitor,FALSE,false
