track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2.0,2023.0,7.0,14.0,553.0,wrong_type,141381703,43.0,263.0,45,wrong_type,826,125.0,B,Major,80.0,,83.0,31.0,0.0,8.0,4.0
LALA,Myke Towers,1.0,2023.0,,23.0,1474.0,wrong_type,133716286,48.0,,58,14.0,382,92.0,C#,Major,71.0,,74.0,7.0,0.0,10.0,4.0
vampire,Olivia Rodrigo,1.0,2023.0,6.0,30.0,1397.0,113.0,140003974,94.0,207.0,91,14.0,949,138.0,F,Major,51.0,32.0,53.0,,0.0,31.0,6.0
Cruel Summer,Taylor Swift,1.0,2019.0,8.0,23.0,7858.0,wrong_type,800840817,116.0,207.0,125,12.0,548,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0
WHERE SHE GOES,Bad Bunny,,2023.0,5.0,18.0,3133.0,50.0,303236322,84.0,133.0,87,15.0,425,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0
Sprinter,"Dave, Central Cee",2.0,wrong_type,6.0,wrong_type,2186.0,91.0,183706234,67.0,213.0,88,17.0,946,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",,2023.0,,16.0,3090.0,50.0,725980112,34.0,222.0,43,13.0,418,148.0,F,Minor,67.0,83.0,76.0,,0.0,8.0,3.0
Columbia,Quevedo,1.0,2023.0,7.0,7.0,714.0,43.0,58149378,25.0,wrong_type,30,13.0,194,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0
fukumean,Gunna,1.0,2023.0,5.0,15.0,1096.0,83.0,95217315,60.0,210.0,48,11.0,953,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",wrong_type,2023.0,3.0,17.0,2953.0,44.0,553634067,49.0,110.0,66,13.0,339,170.0,D,Minor,81.0,56.0,wrong_type,21.0,0.0,8.0,33.0
un x100to,"Bad Bunny, Grupo Frontera",2.0,2023.0,4.0,17.0,2876.0,40.0,505671438,41.0,205.0,54,12.0,251,83.0,F#,Minor,57.0,56.0,72.0,,0.0,27.0,5.0
Super Shy,NewJeans,1.0,2023.0,7.0,7.0,422.0,55.0,58255150,37.0,202.0,21,5.0,168,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,wrong_type,7.0
Flowers,Miley Cyrus,wrong_type,2023.0,1.0,12.0,12211.0,115.0,1316855716,300.0,,745,58.0,"1,021",118.0,,Major,71.0,65.0,68.0,6.0,0.0,3.0,wrong_type
Daylight,David Kushner,wrong_type,2023.0,4.0,14.0,3528.0,98.0,387570742,80.0,156.0,182,,"1,281",130.0,D,Minor,51.0,wrong_type,43.0,wrong_type,0.0,9.0,3.0
As It Was,Harry Styles,1.0,2022.0,3.0,31.0,23575.0,130.0,2513188493,403.0,198.0,863,46.0,,174.0,F#,Minor,wrong_type,66.0,73.0,34.0,0.0,31.0,6.0
Kill Bill,SZA,1.0,2022.0,12.0,8.0,,77.0,1163093654,183.0,162.0,161,12.0,187,89.0,G#,Major,,43.0,73.0,5.0,17.0,16.0,4.0
Cupid - Twin Ver.,Fifty Fifty,1.0,2023.0,2.0,24.0,2942.0,77.0,496795686,91.0,212.0,78,6.0,0,120.0,B,Minor,78.0,76.0,,43.0,0.0,34.0,3.0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1.0,2023.0,7.0,13.0,873.0,104.0,30546883,80.0,227.0,95,24.0,"1,173",78.0,,Major,44.0,14.0,9.0,96.0,0.0,10.0,3.0
Classy 101,"Feid, Young Miko",2.0,,3.0,31.0,2610.0,40.0,335222234,43.0,100.0,54,14.0,187,100.0,B,Major,,67.0,66.0,14.0,,12.0,16.0
Like Crazy,Jimin,1.0,2023.0,3.0,24.0,596.0,68.0,363369738,8.0,104.0,23,2.0,29,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3.0,2023.0,6.0,22.0,,26.0,86444842,11.0,163.0,10,4.0,0,140.0,F,Minor,65.0,87.0,74.0,22.0,0.0,42.0,
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1.0,2023.0,7.0,7.0,516.0,38.0,52135248,73.0,119.0,42,1.0,150,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0
I Wanna Be Yours,Arctic Monkeys,1.0,2013.0,1.0,1.0,12859.0,110.0,1297026226,24.0,98.0,582,2.0,73,135.0,,Minor,48.0,44.0,42.0,wrong_type,wrong_type,11.0,3.0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2.0,,5.0,31.0,1313.0,40.0,200647221,17.0,152.0,32,11.0,139,133.0,F,Minor,85.0,81.0,,26.0,0.0,wrong_type,5.0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3.0,2023.0,6.0,2.0,1945.0,87.0,115364561,74.0,182.0,87,14.0,"1,093",99.0,C#,Major,85.0,83.0,68.0,7.0,0.0,36.0,wrong_type
SABOR FRESA,Fuerza Regida,1.0,wrong_type,6.0,22.0,250.0,26.0,78300654,16.0,149.0,10,5.0,168,130.0,G,Minor,79.0,wrong_type,86.0,9.0,0.0,9.0,9.0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2.0,2022.0,3.0,25.0,7112.0,77.0,899183384,202.0,119.0,318,38.0,96,107.0,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0
MOJABI GHOST,"Tainy, Bad Bunny",2.0,,6.0,29.0,859.0,wrong_type,61245289,35.0,109.0,41,14.0,211,122.0,F#,Minor,81.0,wrong_type,71.0,,0.0,56.0,4.0
Last Night,Morgan Wallen,1.0,2023.0,1.0,,2420.0,19.0,429829812,52.0,107.0,15,1.0,325,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0
Dance The Night (From Barbie The Album),Dua Lipa,1.0,2023.0,5.0,25.0,2988.0,101.0,127408954,0.0,0.0,143,38.0,0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0
Rush,Troye Sivan,1.0,2023.0,7.0,,wrong_type,wrong_type,22581161,,135.0,50,1.0,294,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,,6.0
TULUM,"Peso Pluma, Grupo Frontera",2.0,2023.0,6.0,28.0,266.0,34.0,52294266,20.0,185.0,13,8.0,197,168.0,F#,Major,56.0,63.0,87.0,39.0,wrong_type,11.0,5.0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3.0,2022.0,12.0,2.0,6036.0,88.0,843957510,,,245,23.0,27,98.0,C#,Minor,71.0,17.0,61.0,wrong_type,0.0,8.0,5.0
Anti-Hero,Taylor Swift,1.0,2022.0,10.0,21.0,9082.0,56.0,999748277,242.0,142.0,165,9.0,310,97.0,E,Major,64.0,51.0,63.0,,0.0,19.0,5.0
TQG,"Karol G, Shakira",2.0,2023.0,2.0,23.0,4284.0,49.0,618990393,115.0,123.0,184,18.0,354,180.0,E,Minor,72.0,61.0,63.0,67.0,0.0,,
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8.0,2023.0,,1.0,1150.0,31.0,123122413,wrong_type,33.0,34,,184,120.0,,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2.0,2023.0,4.0,7.0,672.0,wrong_type,188933502,19.0,108.0,24,9.0,212,,F#,Major,61.0,39.0,73.0,37.0,0.0,11.0,3.0
Blank Space,Taylor Swift,1.0,2014.0,1.0,1.0,11434.0,53.0,1355959075,154.0,123.0,410,2.0,81,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0
Style,Taylor Swift,1.0,2014.0,1.0,1.0,7830.0,42.0,786181836,94.0,111.0,151,4.0,82,,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0
TQM,Fuerza Regida,wrong_type,2023.0,5.0,19.0,584.0,28.0,176553476,16.0,159.0,15,6.0,100,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0
El Azul,"Junior H, Peso Pluma",2.0,2023.0,2.0,10.0,,25.0,354495408,10.0,107.0,6,3.0,62,144.0,A,Minor,56.0,84.0,65.0,23.0,0.0,10.0,6.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2.0,2018.0,10.0,9.0,24094.0,78.0,2808096550,372.0,117.0,843,,69,90.0,D,Major,,91.0,50.0,,0.0,7.0,5.0
I'm Good (Blue),"Bebe Rexha, David Guetta",2.0,2022.0,8.0,26.0,,wrong_type,1109433169,291.0,184.0,537,45.0,727,128.0,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0
See You Again,"Tyler, The Creator, Kali Uchis",3.0,wrong_type,7.0,21.0,13387.0,64.0,1047101291,77.0,58.0,247,1.0,311,79.0,F#,Major,56.0,58.0,56.0,,0.0,11.0,10.0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3.0,,6.0,23.0,1117.0,80.0,65156199,82.0,wrong_type,65,16.0,"1,133",144.0,,Major,77.0,75.0,58.0,52.0,0.0,23.0,25.0
Angels Like You,Miley Cyrus,1.0,2020.0,11.0,27.0,3372.0,19.0,570515054,,48.0,138,1.0,102,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0
I Ain't Worried,OneRepublic,1.0,2022.0,5.0,13.0,8431.0,76.0,1085685420,241.0,127.0,458,37.0,332,140.0,,Major,71.0,82.0,,11.0,wrong_type,6.0,5.0
Die For You,The Weeknd,1.0,2016.0,11.0,24.0,2483.0,59.0,1647990401,68.0,21.0,24,0.0,259,,C#,Minor,59.0,wrong_type,52.0,9.0,0.0,15.0,7.0
Starboy,"The Weeknd, Daft Punk",2.0,2016.0,9.0,21.0,29536.0,79.0,2565529693,281.0,137.0,"2,445",1.0,140,186.0,G,Major,68.0,49.0,wrong_type,16.0,0.0,13.0,28.0
Die For You - Remix,"Ariana Grande, The Weeknd",2.0,2023.0,2.0,24.0,3408.0,47.0,518745108,87.0,86.0,74,1.0,16,67.0,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3.0,2023.0,6.0,2.0,1298.0,38.0,107753850,44.0,64.0,57,10.0,110,106.0,A#,Minor,72.0,17.0,64.0,7.0,0.0,10.0,5.0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3.0,2023.0,,6.0,wrong_type,66.0,177740666,145.0,111.0,213,11.0,810,128.0,G,Major,60.0,23.0,,0.0,0.0,12.0,wrong_type
AMARGURA,Karol G,1.0,2023.0,2.0,24.0,1133.0,39.0,153372011,14.0,71.0,23,10.0,176,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0
(It Goes Like) Nanana - Edit,Peggy Gou,1.0,2023.0,6.0,15.0,2259.0,59.0,57876440,0.0,0.0,109,17.0,0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0
Another Love,Tom Odell,1.0,2012.0,,15.0,18371.0,83.0,1813673666,250.0,122.0,"3,394",19.0,,123.0,E,Minor,45.0,13.0,wrong_type,70.0,0.0,9.0,4.0
Blinding Lights,The Weeknd,1.0,,11.0,29.0,43899.0,69.0,3703895074,672.0,199.0,"3,421",20.0,,171.0,C#,Major,50.0,38.0,80.0,0.0,0.0,9.0,7.0
Moonlight,Kali Uchis,1.0,2023.0,wrong_type,24.0,2649.0,,256483385,67.0,79.0,57,1.0,615,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0
La Bachata,Manuel Turizo,1.0,2022.0,5.0,26.0,,45.0,1214083358,139.0,111.0,161,15.0,210,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0
S91,Karol G,1.0,2023.0,,14.0,525.0,41.0,16011326,34.0,115.0,39,6.0,216,128.0,,Minor,86.0,42.0,72.0,59.0,0.0,9.0,19.0
cardigan,Taylor Swift,1.0,2020.0,7.0,24.0,7923.0,29.0,812019557,106.0,wrong_type,142,4.0,215,130.0,,Minor,61.0,,wrong_type,55.0,,27.0,4.0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2.0,2023.0,5.0,4.0,731.0,,111947664,27.0,17.0,73,4.0,167,130.0,B,Major,86.0,59.0,96.0,50.0,1.0,9.0,5.0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2.0,2023.0,2.0,3.0,5184.0,41.0,156338624,154.0,84.0,102,14.0,37,wrong_type,F,Major,70.0,86.0,81.0,wrong_type,0.0,,5.0
